DATE,PCECC96,WILL5000IND,GDPDEF,TB3MS
1971-01-01,3156.978,.,22.391,3.8400000000000000
1971-04-01,3185.993,1.13666666666666666667,22.685,4.2500000000000000
1971-07-01,3211.394,1.11333333333333333333,22.916,5.0100000000000000
1971-10-01,3264.679,1.11333333333333333333,23.107,4.2300000000000000
1972-01-01,3307.767,1.24000000000000000000,23.458,3.4366666666666667
1972-04-01,3370.736,1.28000000000000000000,23.604,3.7700000000000000
1972-07-01,3422.682,1.29333333333333333333,23.83,4.2200000000000000
1972-10-01,3503.001,1.3566666666666667,24.134,4.8633333333333333
1973-01-01,3566.957,1.30666666666666666667,24.412,5.7000000000000000
1973-04-01,3565.349,1.19666666666666666667,24.787,6.6033333333333333
1973-07-01,3577.898,1.24333333333333333333,25.27,8.3233333333333333
1973-10-01,3567.227,1.17666666666666666667,25.773,7.5000000000000000
1974-01-01,3535.312,1.13000000000000000000,26.26,7.6166666666666667
1974-04-01,3548.041,1.02000000000000000000,26.88,8.1533333333333333
1974-07-01,3563.282,0.83333333333333333333,27.668,8.1900000000000000
1974-10-01,3511.197,0.83666666666666666667,28.482,7.3600000000000000
1975-01-01,3540.647,0.97666666666666666667,29.129,5.7500000000000000
1975-04-01,3598.886,1.12000000000000000000,29.562,5.3933333333333333
1975-07-01,3650.035,1.07666666666666666667,30.084,6.3300000000000000
1975-10-01,3689.285,1.11666666666666666667,30.587,5.6266666666666667
1976-01-01,3763.048,1.27666666666666666667,30.911,4.9166666666666667
1976-04-01,3797.67,1.30000000000000000000,31.222,5.1566666666666667
1976-07-01,3837.654,1.3366666666666667,31.626,5.1500000000000000
1976-10-01,3887.447,1.3633333333333333,32.192,4.6733333333333333
1977-01-01,3933.268,1.3533333333333333,32.711,4.6300000000000000
1977-04-01,3954.596,1.3600000000000000,33.172,4.8400000000000000
1977-07-01,3991.989,1.3666666666666667,33.576,5.4966666666666667
1977-10-01,4052.01,1.3533333333333333,34.301,6.1100000000000000
1978-01-01,4074.774,1.31333333333333333333,34.8,6.3933333333333333
1978-04-01,4161.887,1.4666666666666667,35.465,6.4766666666666667
1978-07-01,4179.363,1.5933333333333333,36.067,7.3133333333333333
1978-10-01,4213.088,1.4766666666666667,36.806,8.5700000000000000
1979-01-01,4234.909,1.5933333333333333,37.476,9.3833333333333333
1979-04-01,4232.159,1.6800000000000000,38.394,9.3766666666666667
1979-07-01,4273.342,1.8266666666666667,39.234,9.6733333333333333
1979-10-01,4283.975,1.8795454545454545,39.962,11.8433333333333333
1980-01-01,4277.851,1.9611290322580645,40.801,13.3533333333333333
1980-04-01,4181.51,1.9306349206349206,41.772,9.6166666666666667
1980-07-01,4227.379,2.2534375000000000,42.705,9.1533333333333333
1980-10-01,4284.494,2.4858730158730159,43.818,13.6133333333333333
1981-01-01,4298.847,2.4708064516129032,44.972,14.3900000000000000
1981-04-01,4299.16,2.5734920634920635,45.863,14.9066666666666667
1981-07-01,4319.047,2.4684375000000000,46.726,15.0533333333333333
1981-10-01,4289.504,2.4190625000000000,47.534,11.7500000000000000
1982-01-01,4321.1,2.2572580645161290,48.188,12.8133333333333333
1982-04-01,4334.262,2.2731746031746032,48.814,12.4200000000000000
1982-07-01,4363.318,2.2846875000000000,49.506,9.3166666666666667
1982-10-01,4439.749,2.7996875000000000,50.019,7.9066666666666667
1983-01-01,4483.645,3.0912698412698413,50.397,8.1066666666666667
1983-04-01,4574.944,3.4882539682539683,50.771,8.3966666666666667
1983-07-01,4656.982,3.5929687500000000,51.311,9.1400000000000000
1983-10-01,4731.194,3.5842857142857143,51.7,8.8000000000000000
1984-01-01,4770.457,3.4596825396825397,52.223,9.1700000000000000
1984-04-01,4837.29,3.3622222222222222,52.67,9.7966666666666667
1984-07-01,4873.165,3.4944444444444444,53.138,10.3200000000000000
1984-10-01,4936.293,3.6276562500000000,53.536,8.8033333333333333
1985-01-01,5020.163,3.9640322580645161,54.065,8.1833333333333333
1985-04-01,5066.25,4.1853968253968254,54.413,7.4600000000000000
1985-07-01,5162.475,4.3322222222222222,54.741,7.1066666666666667
1985-10-01,5173.643,4.5346875000000000,55.047,7.1666666666666667
1986-01-01,5218.851,5.1296721311475410,55.321,6.8966666666666667
1986-04-01,5275.72,5.6712500000000000,55.531,6.1400000000000000
1986-07-01,5369.049,5.6731250000000000,55.758,5.5233333333333333
1986-10-01,5401.98,5.7081250000000000,56.062,5.3533333333333333
1987-01-01,5407.372,6.5725806451612903,56.418,5.5366666666666667
1987-04-01,5481.166,6.8730158730158730,56.809,5.6566666666666667
1987-07-01,5543.723,7.4517187500000000,57.239,6.0433333333333333
1987-10-01,5555.451,5.9743750000000000,57.695,5.8633333333333333
1988-01-01,5653.588,6.1539682539682540,58.147,5.7233333333333333
1988-04-01,5695.326,6.3893650793650794,58.713,6.2100000000000000
1988-07-01,5745.933,6.5476562500000000,59.415,7.0100000000000000
1988-10-01,5811.264,6.7382539682539683,59.929,7.7266666666666667
1989-01-01,5838.225,7.2012903225806452,60.553,8.5400000000000000
1989-04-01,5865.477,7.8395312500000000,61.198,8.4100000000000000
1989-07-01,5922.261,8.5711111111111111,61.645,7.8433333333333333
1989-10-01,5948.0,8.6714285714285714,62.084,7.6533333333333333
1990-01-01,5998.058,8.4398412698412698,62.754,7.7600000000000000
1990-04-01,6016.329,8.7609523809523810,63.457,7.7466666666666667
1990-07-01,6040.163,8.4149206349206349,64.001,7.4766666666666667
1990-10-01,5994.212,7.8845312500000000,64.477,6.9900000000000000
1991-01-01,5971.672,8.9568852459016393,65.109,6.0233333333333333
